claim_id,claim_amount,claim_age_days,policyholder_age,prior_claims,vehicle_age_years,annual_premium,claim_type,vehicle_type,policy_state,incident_hour,is_fraud
CLM-000726,357.05,3555,66,3,9,674.46,collision,ute,VIC,10,0
CLM-000727,4797.26,3542,50,1,9,1610.84,collision,hatchback,NSW,8,0
CLM-000728,3215.57,2609,38,0,3,931.92,collision,sedan,NSW,13,0
CLM-000729,3212.95,269,29,0,2,1647.9,collision,ute,QLD,4,0
CLM-000730,2203.67,1839,27,0,16,1335.8,collision,ute,VIC,16,0
CLM-000731,1936.4,3461,22,0,13,1392.26,collision,hatchback,WA,21,0
CLM-000732,2259.31,352,79,0,11,1336.02,collision,hatchback,VIC,22,0
CLM-000733,4219.07,2896,19,0,9,1807.4,collision,suv,WA,10,0
CLM-000734,4814.26,66,75,1,11,1749.12,collision,suv,QLD,6,0
CLM-000735,2506.71,2934,57,0,18,1340.47,collision,sedan,NSW,11,0
CLM-000736,6073.58,1987,59,0,4,1053.33,theft,hatchback,SA,2,0
CLM-000737,2809.52,3240,82,0,10,1654.88,collision,sedan,NSW,16,0
CLM-000738,2042.3,1510,70,0,5,1028.39,collision,ute,VIC,10,1
CLM-000739,3459.27,2866,27,1,2,836.9,collision,ute,QLD,2,0
CLM-000740,1075.41,3075,82,0,15,1514.46,collision,suv,VIC,13,0
CLM-000741,3549.42,1185,29,1,15,1752.1,collision,sedan,VIC,17,0
CLM-000742,937.64,2344,56,1,18,1216.32,collision,sedan,VIC,5,1
CLM-000743,1379.13,1682,60,1,0,1483.49,windscreen,hatchback,NSW,9,0
CLM-000744,655.88,1576,34,0,3,1212.83,collision,suv,NSW,21,0
CLM-000745,2614.07,2919,60,1,12,1588.26,collision,sedan,NSW,17,0
CLM-000746,9968.9,824,60,1,17,1711.36,collision,ute,NSW,19,0
CLM-000747,2730.37,436,83,0,20,1263.25,collision,sedan,QLD,10,0
CLM-000748,4830.42,1753,79,2,17,1010.89,collision,hatchback,VIC,11,0
CLM-000749,17400.17,2999,44,0,19,869.18,windscreen,sedan,VIC,11,0
CLM-000750,4036.13,594,64,2,17,1655.48,windscreen,sedan,QLD,10,0
CLM-000751,1679.23,1241,73,1,6,974.93,collision,sedan,NSW,3,0
CLM-000752,1861.85,2434,19,1,12,1472.77,collision,suv,NSW,0,0
CLM-000753,2982.43,1740,63,0,13,1606.54,collision,suv,QLD,19,0
CLM-000754,1854.42,2210,79,1,7,1184.57,collision,ute,WA,12,0
CLM-000755,1961.44,1927,26,0,19,1295.15,theft,suv,VIC,12,0
CLM-000756,6241.28,2956,68,1,16,1679.68,collision,suv,NSW,14,0
CLM-000757,6435.71,3194,22,0,11,1083.3,collision,sedan,QLD,9,0
CLM-000758,866.82,1640,44,1,10,1049.8,liability,sedan,WA,21,0
CLM-000759,1613.84,1575,72,0,17,1272.65,collision,hatchback,VIC,11,0
CLM-000760,2104.84,1017,84,0,4,1771.71,collision,sedan,NSW,12,0
CLM-000761,4671.88,1619,66,0,4,1881.54,windscreen,hatchback,NSW,12,0
CLM-000762,7025.54,3052,66,0,8,1317.4,collision,suv,VIC,3,0
CLM-000763,22617.43,1831,35,1,2,1115.0,collision,sedan,WA,4,0
CLM-000764,2102.21,2522,73,1,10,1701.16,collision,sedan,QLD,4,0
CLM-000765,2182.45,1527,62,0,9,799.13,liability,sedan,NSW,6,0
CLM-000766,4635.17,2579,81,0,11,1431.71,collision,ute,QLD,3,0
CLM-000767,1787.08,2600,58,2,10,1335.51,collision,suv,WA,5,0
CLM-000768,2681.89,1927,20,0,19,1776.96,collision,suv,VIC,22,0
CLM-000769,2183.58,3410,52,0,6,1810.36,collision,ute,WA,8,0
CLM-000770,417.28,3197,69,1,9,1038.97,theft,suv,VIC,19,0
CLM-000771,3269.61,578,70,1,16,1405.33,collision,hatchback,VIC,9,0
CLM-000772,2599.9,831,43,2,6,1161.7,collision,hatchback,VIC,19,0
CLM-000773,7734.32,3485,29,0,14,1253.2,theft,ute,VIC,18,1
CLM-000774,2993.26,1466,76,1,21,1553.74,windscreen,hatchback,SA,20,0
CLM-000775,1163.21,1132,73,0,8,1239.48,collision,ute,VIC,6,0
CLM-000776,2456.34,2906,76,1,5,1414.0,windscreen,suv,VIC,2,0
CLM-000777,621.22,2197,62,1,4,1665.9,theft,ute,VIC,7,0
CLM-000778,1202.08,485,73,1,0,1850.0,collision,sedan,VIC,16,1
CLM-000779,4801.24,335,44,0,6,1445.26,windscreen,ute,VIC,15,0
CLM-000780,2476.24,2949,70,0,18,1388.86,windscreen,hatchback,QLD,16,0
CLM-000781,5954.37,2791,50,0,5,984.59,collision,sedan,VIC,23,0
CLM-000782,681.86,1286,71,0,20,1873.31,liability,hatchback,VIC,5,0
CLM-000783,2485.31,3147,27,0,20,1513.58,collision,hatchback,QLD,10,0
CLM-000784,2086.76,458,37,1,15,1394.95,theft,sedan,NSW,11,0
CLM-000785,6105.14,3171,32,0,21,1378.07,liability,suv,QLD,3,0
CLM-000786,4937.29,288,45,0,8,1469.02,collision,hatchback,VIC,15,0
CLM-000787,4825.59,2321,72,0,21,1604.69,windscreen,hatchback,VIC,1,0
CLM-000788,9471.64,3077,25,0,11,1645.53,collision,sedan,QLD,21,0
CLM-000789,2261.84,2260,66,0,1,1881.56,windscreen,suv,QLD,2,0
CLM-000790,8113.71,2841,73,1,18,1430.09,theft,ute,WA,2,0
CLM-000791,1362.19,1254,62,1,20,1928.89,collision,sedan,VIC,4,0
CLM-000792,1325.23,1051,61,1,19,1699.05,collision,suv,NSW,21,0
CLM-000793,5242.53,970,27,1,9,1330.16,collision,sedan,QLD,20,0
CLM-000794,964.34,424,59,0,2,799.77,collision,sedan,VIC,22,0
CLM-000795,4580.55,1012,33,0,12,1378.24,collision,suv,QLD,19,0
CLM-000796,3216.29,902,34,0,19,1864.3,collision,suv,VIC,22,0
CLM-000797,6660.1,2761,75,1,18,1094.16,collision,suv,QLD,11,0
CLM-000798,2850.98,777,59,0,13,1377.21,collision,ute,NSW,0,0
CLM-000799,3108.94,605,84,0,17,1404.52,windscreen,suv,VIC,10,0
CLM-000800,4367.51,2675,48,0,0,1660.9,windscreen,sedan,NSW,5,0
CLM-000801,1813.5,1963,41,0,13,1222.02,windscreen,sedan,VIC,5,0
CLM-000802,1755.21,786,84,0,2,1063.1,collision,sedan,QLD,16,0
CLM-000803,4254.88,2576,59,0,16,1538.1,liability,sedan,VIC,4,0
CLM-000804,2916.19,788,75,0,1,1104.68,theft,sedan,VIC,7,0
CLM-000805,2196.27,2867,20,0,13,744.28,collision,sedan,WA,9,0
CLM-000806,2801.5,117,53,2,20,1957.32,collision,sedan,QLD,1,0
CLM-000807,9856.83,2153,72,0,2,1655.92,theft,ute,VIC,16,0
CLM-000808,2138.24,2178,72,2,9,1971.52,collision,suv,SA,18,1
CLM-000809,2092.23,1360,65,0,0,1638.42,collision,hatchback,VIC,13,0
CLM-000810,828.33,2514,29,1,15,1574.52,liability,ute,QLD,0,0
CLM-000811,2887.76,1385,54,1,20,1471.95,collision,suv,NSW,18,0
CLM-000812,4878.84,2385,24,0,0,1288.61,collision,sedan,NSW,10,0
CLM-000813,5581.14,815,71,1,12,1519.0,liability,suv,VIC,6,0
CLM-000814,3232.99,2075,60,0,17,1167.43,theft,sedan,NSW,22,0
CLM-000815,6105.07,2760,30,2,0,997.15,collision,suv,VIC,20,0
CLM-000816,5158.61,3526,66,1,10,1240.37,liability,suv,NSW,10,0
CLM-000817,6868.58,1315,66,0,2,1776.19,liability,suv,QLD,10,0
CLM-000818,6236.83,1725,21,1,20,943.31,collision,sedan,NSW,21,0
CLM-000819,9676.77,1738,23,1,11,948.55,theft,ute,NSW,4,0
CLM-000820,2624.72,3139,31,0,11,1545.13,collision,hatchback,SA,9,0
CLM-000821,1101.81,3513,22,0,21,1213.02,collision,ute,QLD,13,0
CLM-000822,4903.91,2357,53,1,17,1510.21,theft,suv,SA,8,0
CLM-000823,5353.01,3000,76,0,6,1676.65,collision,suv,VIC,7,0
CLM-000824,9676.9,307,22,0,13,1502.31,theft,sedan,NSW,2,0
CLM-000825,7792.9,2771,59,0,6,1141.36,windscreen,ute,VIC,6,0
CLM-000826,12824.39,2956,46,0,11,1773.37,collision,suv,VIC,8,1
CLM-000827,4745.21,2609,74,1,17,1594.9,theft,sedan,NSW,20,0
CLM-000828,3539.03,2133,50,0,20,1358.85,collision,suv,WA,8,0
CLM-000829,1054.96,3283,62,0,20,1342.88,windscreen,hatchback,QLD,3,1
CLM-000830,3755.86,2385,79,1,10,1473.42,collision,suv,QLD,20,0
CLM-000831,1969.67,3089,27,0,19,1247.05,theft,suv,VIC,8,0
CLM-000832,3493.41,657,39,1,19,811.7,collision,suv,QLD,22,0
CLM-000833,3105.36,2428,36,0,12,1597.55,collision,suv,NSW,2,0
CLM-000834,4246.29,1596,29,0,0,1577.95,theft,suv,SA,0,0
CLM-000835,2771.11,3169,61,1,2,590.65,windscreen,sedan,VIC,22,0
CLM-000836,6010.51,3214,18,1,14,1518.52,collision,suv,NSW,2,0
CLM-000837,386.69,3080,43,0,18,1929.64,windscreen,ute,NSW,0,0
CLM-000838,3437.48,786,26,1,20,977.88,liability,sedan,QLD,15,0
CLM-000839,7345.68,1796,59,0,5,1325.81,collision,ute,SA,7,0
CLM-000840,12119.08,0,68,0,19,1289.95,collision,sedan,WA,11,0
CLM-000841,5161.44,3575,49,1,18,1897.94,collision,ute,QLD,9,1
CLM-000842,10547.69,939,47,1,10,1719.91,windscreen,suv,SA,7,0
CLM-000843,3383.62,2279,48,0,8,1060.12,collision,suv,QLD,11,0
CLM-000844,2987.36,1779,31,0,10,1462.9,collision,suv,VIC,6,0
CLM-000845,4434.02,3301,43,0,14,2109.88,collision,hatchback,QLD,5,0
CLM-000846,2973.83,2997,80,1,17,1143.85,liability,suv,NSW,5,0
CLM-000847,1657.78,2835,20,1,3,1346.32,collision,ute,NSW,2,0
CLM-000848,2025.5,2348,70,0,7,1519.46,theft,ute,VIC,12,0
CLM-000849,1294.51,435,29,0,2,1148.68,collision,sedan,NSW,13,0
CLM-000850,4430.57,3354,25,1,20,1931.86,liability,sedan,SA,0,0
CLM-000851,3006.54,228,37,0,8,1194.02,collision,suv,SA,11,0
CLM-000852,2275.11,1662,36,2,5,891.62,collision,sedan,VIC,17,0
CLM-000853,1948.84,1384,39,1,4,1176.76,windscreen,suv,QLD,0,0
CLM-000854,4353.75,1426,74,0,1,1565.5,liability,suv,VIC,7,0
CLM-000855,5352.59,3566,78,0,10,1086.6,collision,suv,NSW,23,0
CLM-000856,1276.8,844,64,1,16,1449.73,collision,sedan,VIC,10,0
CLM-000857,1134.83,2116,27,1,7,1535.64,windscreen,hatchback,NSW,0,0
CLM-000858,6099.01,795,81,0,8,951.05,windscreen,suv,NSW,12,0
CLM-000859,1062.79,3327,74,0,14,1163.98,collision,ute,NSW,9,1
CLM-000860,4494.52,2686,23,1,7,1465.16,collision,sedan,NSW,5,0
CLM-000861,10023.44,1514,43,0,16,1581.8,windscreen,suv,NSW,1,0
CLM-000862,10040.94,293,69,0,7,1172.2,windscreen,sedan,WA,21,0
CLM-000863,5184.37,557,23,1,9,1400.08,windscreen,ute,NSW,19,0
CLM-000864,5072.59,885,23,0,21,1256.3,collision,suv,NSW,16,0
CLM-000865,16137.98,1482,58,0,18,1590.19,collision,hatchback,VIC,0,0
CLM-000866,517.6,3233,40,0,12,1521.41,liability,suv,VIC,20,0
CLM-000867,2104.32,436,47,1,8,1226.75,windscreen,suv,VIC,11,0
CLM-000868,5632.84,2105,68,1,21,1507.89,windscreen,sedan,NSW,11,0
CLM-000869,2314.7,1267,54,0,10,1213.84,collision,suv,QLD,21,0
CLM-000870,7554.01,170,65,2,7,1500.93,collision,suv,VIC,10,0
CLM-000871,2894.26,2260,26,1,13,1505.53,windscreen,suv,QLD,5,0
CLM-000872,3290.54,2570,18,1,9,2132.45,collision,sedan,VIC,5,0
CLM-000873,2425.99,3502,34,1,19,1239.03,liability,sedan,VIC,22,0
CLM-000874,2014.48,1849,31,0,4,1303.38,collision,sedan,VIC,13,0
CLM-000875,1977.66,1187,39,1,1,1136.41,windscreen,hatchback,NSW,13,0
CLM-000876,3653.26,3119,70,0,9,1009.17,liability,suv,VIC,14,0
CLM-000877,1667.49,902,28,2,20,1199.37,collision,sedan,NSW,5,0
CLM-000878,6093.05,2490,26,3,1,1569.48,collision,hatchback,NSW,10,0
CLM-000879,4865.47,3443,31,0,17,1593.36,theft,sedan,QLD,22,0
CLM-000880,6799.21,16,39,2,0,1447.57,theft,suv,NSW,3,0
CLM-000881,1278.33,3376,31,0,12,1252.4,collision,ute,NSW,22,0
CLM-000882,833.3,750,30,0,9,1187.19,theft,hatchback,QLD,6,0
CLM-000883,2971.61,1757,56,2,3,1047.45,liability,ute,VIC,7,0
CLM-000884,26215.35,941,25,0,16,1166.23,collision,suv,WA,0,1
CLM-000885,7705.25,527,28,0,3,922.61,collision,hatchback,SA,15,0
CLM-000886,1966.8,2563,74,1,9,1798.09,collision,sedan,SA,7,0
CLM-000887,4098.53,1759,19,0,12,1956.26,collision,hatchback,VIC,11,0
CLM-000888,5144.53,1858,22,0,11,711.17,collision,hatchback,NSW,13,0
CLM-000889,1068.18,1765,22,1,0,1445.46,collision,hatchback,QLD,15,0
CLM-000890,8326.67,2728,53,0,9,1439.99,theft,sedan,QLD,22,1
CLM-000891,2629.19,3526,64,0,14,1418.91,collision,sedan,QLD,13,0
CLM-000892,2784.96,1871,64,1,11,1154.39,liability,ute,NSW,4,0
CLM-000893,3034.61,567,64,0,16,1687.43,collision,suv,NSW,16,0
CLM-000894,7033.26,1194,21,0,17,1485.46,collision,suv,NSW,1,0
CLM-000895,1691.91,1810,41,0,3,1691.26,windscreen,hatchback,NSW,20,0
CLM-000896,828.63,378,60,2,17,1106.62,liability,suv,NSW,7,0
CLM-000897,3797.95,836,63,1,19,893.55,collision,sedan,SA,17,0
CLM-000898,643.72,739,40,1,18,1493.52,collision,suv,NSW,3,0
CLM-000899,2378.37,3551,74,0,18,1032.23,collision,sedan,QLD,9,0
CLM-000900,7260.15,1462,73,3,4,1698.02,collision,sedan,SA,16,0
CLM-000901,4602.34,3208,69,2,14,648.21,collision,sedan,VIC,14,0
CLM-000902,6514.38,2012,71,0,10,1195.38,collision,hatchback,VIC,0,0
CLM-000903,4746.98,1847,83,1,21,1146.75,collision,ute,QLD,0,0
CLM-000904,18174.07,3426,71,1,18,1240.32,collision,suv,NSW,23,0
CLM-000905,1917.58,2525,57,0,3,1436.16,liability,suv,VIC,12,0
CLM-000906,4018.24,874,44,0,20,1480.76,theft,ute,WA,20,0
CLM-000907,2146.1,1028,42,1,15,1561.11,collision,hatchback,QLD,1,0
CLM-000908,6109.5,2431,73,1,11,1599.15,collision,hatchback,WA,11,0
CLM-000909,2846.42,8,37,0,9,1293.4,collision,suv,SA,13,0
CLM-000910,10819.81,556,60,1,10,2045.87,collision,hatchback,VIC,22,0
CLM-000911,2001.97,271,51,1,16,1807.74,windscreen,suv,QLD,17,0
CLM-000912,8564.19,2605,43,0,16,1247.04,windscreen,suv,QLD,15,0
CLM-000913,4651.08,1610,48,1,12,1304.83,liability,hatchback,QLD,7,0
CLM-000914,2909.26,41,23,0,21,1240.09,liability,suv,QLD,23,0
CLM-000915,4477.55,2707,65,0,5,1469.89,liability,suv,QLD,7,0
CLM-000916,3626.23,2394,22,2,9,1029.26,liability,sedan,WA,6,0
CLM-000917,3893.12,2623,22,1,13,1089.45,collision,suv,VIC,17,0
CLM-000918,2552.55,595,34,0,3,634.77,collision,suv,QLD,23,0
CLM-000919,1761.3,3193,53,3,10,1218.44,collision,ute,NSW,20,0
CLM-000920,2318.55,658,38,1,18,1701.37,collision,suv,VIC,4,1
CLM-000921,843.57,2083,76,0,14,1299.81,collision,sedan,QLD,19,0
CLM-000922,5605.26,2040,80,1,15,1318.27,windscreen,hatchback,QLD,8,0
CLM-000923,1180.42,798,44,0,3,1441.79,theft,suv,VIC,5,0
CLM-000924,2532.0,1370,84,0,3,1019.26,collision,hatchback,VIC,22,0
CLM-000925,4846.61,190,23,1,9,1358.34,collision,sedan,VIC,22,0
CLM-000926,5594.55,1720,27,1,7,1643.81,collision,suv,NSW,8,0
CLM-000927,787.62,2471,41,0,0,1451.17,collision,suv,NSW,0,0
CLM-000928,2782.52,1127,81,0,12,1672.79,windscreen,hatchback,WA,5,0
CLM-000929,4208.28,1962,51,1,16,1767.16,theft,sedan,NSW,12,0
CLM-000930,3099.55,3480,65,1,16,1568.65,windscreen,hatchback,SA,1,0
CLM-000931,8168.63,856,61,1,2,1114.59,collision,suv,NSW,5,0
CLM-000932,1609.45,1060,51,1,17,1236.44,collision,suv,QLD,3,0
CLM-000933,641.12,437,80,0,8,1987.39,collision,suv,VIC,22,0
CLM-000934,5473.89,1978,81,0,3,1453.68,windscreen,sedan,QLD,8,0
CLM-000935,1992.58,744,48,0,10,1409.72,windscreen,suv,QLD,9,0
CLM-000936,797.19,3118,65,0,4,1066.21,collision,sedan,QLD,10,0
CLM-000937,2646.82,1061,59,1,14,1319.82,liability,suv,WA,0,0
CLM-000938,7501.95,2424,57,1,16,1586.4,collision,suv,VIC,13,0
CLM-000939,1155.81,690,24,1,15,1354.9,liability,suv,NSW,21,0
CLM-000940,17188.52,1178,32,0,2,1178.61,collision,sedan,NSW,19,0
CLM-000941,1590.16,624,84,0,7,1255.16,collision,sedan,QLD,6,0
CLM-000942,3181.98,2016,34,1,10,1743.3,windscreen,sedan,VIC,0,0
CLM-000943,1194.7,101,61,1,21,1570.37,collision,sedan,VIC,18,0
CLM-000944,3075.45,302,79,2,12,1526.23,collision,suv,VIC,20,0
CLM-000945,2696.44,1830,58,1,14,1495.49,collision,sedan,VIC,22,0
CLM-000946,975.43,1991,32,1,7,959.6,collision,hatchback,QLD,13,0
CLM-000947,24819.14,1203,75,1,6,1439.88,windscreen,sedan,QLD,11,1
CLM-000948,2055.96,1574,20,0,17,1702.44,windscreen,sedan,QLD,18,0
CLM-000949,2057.31,1520,66,1,18,1263.9,windscreen,hatchback,QLD,16,0
CLM-000950,6165.82,2766,35,0,1,1672.55,collision,sedan,WA,18,0
CLM-000951,11622.42,1629,60,0,11,1529.92,collision,suv,VIC,6,0
CLM-000952,6938.41,3094,50,1,17,1623.13,collision,hatchback,SA,21,0
CLM-000953,1210.89,792,56,0,3,1366.81,collision,hatchback,NSW,0,0
CLM-000954,3499.7,728,43,2,14,1642.57,collision,ute,QLD,2,0
CLM-000955,727.03,1473,53,0,10,866.66,liability,sedan,QLD,15,0
CLM-000956,5862.19,297,80,0,11,1360.94,liability,suv,VIC,13,0
CLM-000957,874.46,2449,73,1,13,1585.29,windscreen,hatchback,NSW,13,0
CLM-000958,1632.06,1425,46,0,19,1447.78,collision,hatchback,VIC,21,0
CLM-000959,2973.81,1337,81,0,1,1711.56,collision,sedan,VIC,20,0
CLM-000960,4162.02,1949,77,0,4,1298.16,collision,suv,WA,17,0
CLM-000961,2451.12,299,60,0,7,1169.34,collision,sedan,VIC,3,0
CLM-000962,9314.36,1375,57,1,17,809.11,collision,sedan,NSW,2,0
CLM-000963,5127.79,3548,20,0,13,1259.92,collision,ute,VIC,3,0
CLM-000964,4834.55,2294,53,1,4,1520.57,collision,sedan,VIC,14,0
CLM-000965,1185.53,2095,32,0,0,1601.13,liability,suv,NSW,17,0
CLM-000966,10662.9,1845,28,0,21,888.27,collision,sedan,VIC,19,0
CLM-000967,1632.23,1710,75,1,3,1737.86,liability,suv,VIC,2,0
CLM-000968,10972.6,3418,36,1,0,1028.44,collision,sedan,NSW,6,1
CLM-000969,13583.98,3395,59,0,8,1310.02,collision,suv,VIC,8,0
CLM-000970,4378.64,1494,76,0,12,1162.29,collision,sedan,VIC,15,0
CLM-000971,6464.04,3375,58,0,5,1487.69,collision,hatchback,QLD,1,0
CLM-000972,295.25,301,70,0,3,1381.04,collision,sedan,VIC,20,0
CLM-000973,2575.37,1166,69,1,1,1573.73,collision,suv,NSW,1,0
CLM-000974,6813.25,1102,47,0,8,1958.46,liability,sedan,SA,12,0
CLM-000975,5963.32,2545,79,1,20,1481.29,collision,sedan,VIC,22,0
CLM-000976,1194.17,2211,78,0,3,1159.7,theft,sedan,NSW,4,0
CLM-000977,2391.58,1725,40,0,12,1502.15,collision,sedan,WA,16,0
CLM-000978,444.84,934,72,0,4,1991.9,collision,sedan,NSW,13,0
CLM-000979,4063.28,1850,30,2,14,1566.59,collision,suv,QLD,19,0
CLM-000980,725.97,981,25,1,1,1662.08,collision,suv,QLD,14,0
CLM-000981,6959.47,1815,53,2,4,824.12,liability,sedan,SA,20,0
CLM-000982,7237.59,1239,58,1,0,1477.67,windscreen,suv,SA,9,0
CLM-000983,2088.55,3243,57,0,14,1261.55,windscreen,suv,NSW,3,0
CLM-000984,4407.03,2723,71,0,15,1125.56,collision,sedan,QLD,16,0
CLM-000985,2533.04,639,44,1,3,1342.64,collision,suv,NSW,23,0
CLM-000986,3573.97,3431,72,0,9,1385.85,liability,sedan,QLD,10,0
CLM-000987,1260.87,2404,78,0,6,1143.95,collision,sedan,VIC,19,0
CLM-000988,4754.61,1278,24,1,1,1412.19,collision,suv,NSW,21,0
CLM-000989,870.54,1936,48,0,0,1292.75,collision,hatchback,NSW,15,0
CLM-000990,755.63,713,33,0,20,1581.8,windscreen,hatchback,NSW,18,0
CLM-000991,2720.45,170,61,0,14,1425.1,theft,hatchback,NSW,13,0
CLM-000992,2544.19,1535,45,1,14,1474.05,windscreen,suv,NSW,19,0
CLM-000993,3656.37,2854,36,1,6,1673.2,windscreen,sedan,WA,8,0
CLM-000994,1831.46,1284,34,1,5,1533.14,collision,suv,VIC,12,0
CLM-000995,12262.1,1402,41,1,17,1347.99,liability,sedan,QLD,1,0
CLM-000996,3362.55,3613,25,1,9,661.31,collision,sedan,WA,4,0
CLM-000997,3549.85,3603,25,0,2,1519.53,theft,sedan,QLD,13,0
CLM-000998,3456.2,1693,60,0,10,1049.07,collision,suv,VIC,17,0
CLM-000999,6324.48,161,81,0,11,1321.54,liability,suv,WA,0,0
CLM-001000,4591.73,2479,52,0,12,1472.45,collision,sedan,QLD,1,0
CLM-001001,4152.7,2608,80,2,11,1789.9,collision,ute,QLD,0,0
CLM-001002,5177.04,3335,28,1,18,1957.97,collision,suv,WA,12,0
CLM-001003,758.65,3460,83,0,5,1046.0,collision,hatchback,VIC,8,0
CLM-001004,780.44,2296,57,1,12,915.77,collision,sedan,VIC,1,0
CLM-001005,2815.67,391,67,0,19,1457.49,theft,suv,WA,19,0
CLM-001006,2570.21,910,22,0,21,1430.0,collision,sedan,VIC,12,0
CLM-001007,4604.81,2615,58,0,21,953.38,liability,suv,WA,0,0
CLM-001008,3026.05,2217,43,0,15,1344.52,collision,sedan,NSW,16,0
CLM-001009,4611.92,1591,78,0,2,1547.19,windscreen,sedan,NSW,21,0
CLM-001010,1171.22,1466,71,1,21,944.05,collision,suv,VIC,10,0
CLM-001011,2957.03,2589,75,1,0,1021.79,theft,sedan,NSW,22,0
CLM-001012,1090.3,1541,77,0,12,1137.43,theft,sedan,SA,10,0
CLM-001013,3984.41,564,66,1,9,1279.95,collision,hatchback,NSW,1,0
CLM-001014,728.72,3574,34,0,14,1579.01,liability,sedan,QLD,2,0
CLM-001015,3870.86,1275,36,1,17,1242.26,collision,suv,NSW,1,0
CLM-001016,990.54,1016,75,0,16,1368.25,collision,suv,SA,7,0
CLM-001017,2235.8,252,58,1,4,2091.24,theft,sedan,VIC,9,0
CLM-001018,5832.47,1711,77,1,16,1034.42,windscreen,suv,NSW,10,0
CLM-001019,3535.23,3599,71,1,16,1134.51,collision,sedan,NSW,11,0
CLM-001020,867.62,583,58,0,0,1573.77,collision,ute,VIC,20,0
CLM-001021,1800.29,893,28,1,14,1676.05,liability,sedan,SA,0,0
CLM-001022,966.78,651,83,0,2,1486.88,windscreen,sedan,SA,21,0
CLM-001023,836.25,343,34,0,12,1946.96,liability,sedan,VIC,5,0
CLM-001024,3255.98,2202,34,0,5,1454.76,collision,hatchback,VIC,22,0
CLM-001025,4537.92,1088,27,1,7,697.89,theft,ute,NSW,3,0
CLM-001026,4148.3,2741,22,0,5,1382.01,collision,hatchback,VIC,2,0
CLM-001027,4684.29,1462,43,0,18,1161.58,liability,suv,VIC,2,0
CLM-001028,2954.45,2323,74,1,19,1806.66,collision,ute,NSW,7,0
CLM-001029,2428.33,326,76,0,17,1668.33,windscreen,suv,QLD,22,0
CLM-001030,1333.01,1201,50,0,15,825.4,collision,hatchback,WA,11,0
CLM-001031,2142.95,1511,39,0,7,1795.6,collision,suv,NSW,3,0
CLM-001032,1106.53,217,41,0,3,1659.99,windscreen,suv,NSW,15,0
CLM-001033,1581.49,1530,79,1,12,1242.93,collision,suv,NSW,12,0
CLM-001034,3186.55,1716,21,1,9,1324.11,liability,suv,NSW,16,0
CLM-001035,2728.88,1474,21,1,6,1809.42,collision,sedan,NSW,17,0
CLM-001036,29689.42,1840,22,0,5,699.4,theft,suv,QLD,18,1
CLM-001037,1086.43,2909,77,0,3,1496.98,collision,sedan,NSW,3,0
CLM-001038,2713.99,2812,24,2,18,1710.83,collision,hatchback,QLD,11,0
CLM-001039,1024.75,51,81,1,7,1320.72,collision,suv,WA,15,0
CLM-001040,2228.67,2337,30,1,20,1563.81,collision,hatchback,SA,13,1
CLM-001041,2297.74,3299,54,0,14,1384.04,collision,suv,QLD,23,0
CLM-001042,5617.6,3180,83,4,3,1091.27,theft,ute,NSW,23,0
CLM-001043,2127.6,1180,25,1,1,1083.02,theft,sedan,NSW,19,0
CLM-001044,2582.49,2857,36,1,9,1584.94,theft,hatchback,NSW,5,0
CLM-001045,2158.7,2923,66,1,1,1140.22,collision,suv,SA,12,0
CLM-001046,1042.33,1335,72,0,20,846.89,collision,sedan,SA,19,0
CLM-001047,1827.9,3172,78,0,19,1390.39,collision,sedan,VIC,6,0
CLM-001048,2238.47,2307,19,1,14,1180.68,windscreen,sedan,NSW,17,0
CLM-001049,3150.67,2741,70,0,6,954.29,windscreen,suv,VIC,5,0
CLM-001050,4533.32,2727,39,0,19,1373.68,collision,ute,NSW,3,1
CLM-001051,2500.02,2851,55,0,14,1603.2,theft,hatchback,SA,5,0
CLM-001052,2467.27,3492,78,1,7,1356.65,collision,ute,NSW,22,0
CLM-001053,820.07,3129,78,0,19,998.14,collision,suv,VIC,23,0
CLM-001054,4468.47,1541,30,0,4,1509.0,collision,suv,VIC,20,0
CLM-001055,1768.84,2051,49,0,12,1691.6,collision,hatchback,NSW,6,0
CLM-001056,5220.47,2366,37,0,15,2080.3,theft,hatchback,VIC,18,0
CLM-001057,8001.07,3126,59,0,19,1825.81,liability,sedan,WA,5,0
CLM-001058,2589.1,1433,73,0,3,1018.23,collision,hatchback,NSW,3,0
CLM-001059,1383.7,1142,39,0,6,1633.17,collision,suv,VIC,6,0
CLM-001060,2943.86,2693,26,0,18,1434.65,windscreen,hatchback,VIC,3,0
CLM-001061,3872.0,3482,22,1,10,969.81,liability,hatchback,NSW,15,0
CLM-001062,2352.8,3328,21,1,16,1443.65,theft,ute,NSW,16,0
CLM-001063,1952.71,540,42,1,17,1983.16,collision,sedan,NSW,0,0
CLM-001064,4548.94,3355,82,3,6,1744.64,theft,suv,NSW,2,0
CLM-001065,4329.4,2880,34,0,7,1015.56,collision,sedan,VIC,11,0
CLM-001066,2299.12,573,45,2,10,1354.53,liability,ute,WA,2,0
CLM-001067,862.17,23,63,0,0,1512.25,collision,sedan,QLD,19,0
CLM-001068,4197.66,744,62,1,17,779.13,theft,ute,SA,9,0
CLM-001069,1676.57,3392,36,1,2,790.51,collision,hatchback,VIC,9,0
